Bilibili有声漫画总集 敔信收录,,,,,,,,,,,,,,,,,,,
"表头声明：此表格为敔信个人，使用人工为主、采集器为辅的方式收集制作。数据参照各视频及下方简介提供的信息，如有侵权信息，请联系删除。序号是按录入顺序排序。人工收集完善中，如有错漏之处恳请指出，感谢理解。此表格免费提供，请保留收集者信息。仅供个人或如QQ群聊等小范围学习交流使用，允许有声漫画译者在其与有声漫画相关的内容中使用，请勿用于其他未许可用途，请勿用于商业用途（表格内已列出的UP主使用除外）。请勿篡改表格信息。需要充电的视频，请谨慎消费，此表不构成消费建议，不承担相关责任。如有侵权，请联系删除。对此表格的最终解释权归敔信所有。如有能力，请支持有声漫画原作者。请支持有声漫画翻译者。
48,【漫画】高級ホテルのプールでモテる美女に無職の俺だけ興味がないフリをしたら「私の旦那様は何者だった？」実は社長令嬢で後日調査をされて執事として採用後に同棲するが婚約者も現れて【恋愛マンガ動画】,https://www.youtube.com/watch?v=i0AVw2yqvsM,,【有声漫画】高级酒店泳池边，我装作对美女不感兴趣，她却开始调查我到底什么来头？原来是总裁千金，后来我被聘为管家还同居了，但未婚夫突然出现,https://www.bilibili.com/video/BV1LNFNzsExH,暗恋神明的平凡英治（310731741）,2026/2/2,,,,蔡徐坤鸡你太美开庭（3546916252027504）,已完成,,,,,,,
49,,,,【有声漫画】怪猎高手的我成为姐妹花的男仆，傲娇妹妹想对我表白，不是姐姐怎么成了我的未婚妻，来干，双倍金狮子也不在话下，老丈人怎么成了我的搭档,https://www.bilibili.com/video/BV1VA61BJEuY,白Y吃橘子（234462511）,2026/1/31,,,,恶作剧的利欧路（34668787）,已完成,,,,,,,
50,,,,【有声漫画】捡到的史莱姆变成病娇重女史莱姆娘了。杂鱼的我面对杂鱼史莱姆的王，哦吼吼怎么一直要这么强，朵莉亚给个大，七海给个治愈之风,https://www.bilibili.com/video/BV19ezvBWEZm,白Y吃橘子（234462511）,2026/1/26,,,,可否再记起（3546902888974439）,已完成,,,,,,,
51,,,,【有声漫画】异世界游戏大师勇者被魔王干趴下，嘴遁大师来了，不是怎么没人听我讲话，那只好捆绑play了,https://www.bilibili.com/video/BV1M1BSBJEqY,白Y吃橘子（234462511）,2025/12/25,,,,超级美少女纯爱战士（153125028）,已完成,,,,,,,
52,,,,【有声漫画】美女老师要当我妈妈，为什么直接同意我的表白。galgame里是这样的，特殊节日约会特殊互动解锁关键节点然后表白成功，再同居解锁特殊cg，然再后日谈,https://www.bilibili.com/video/BV14HUdBxEre,白Y吃橘子（234462511）,2025/11/29,,,,早苗道草（194304622）,全数删除,,,,,,,
53,,https://www.youtube.com/watch?v=wmeMsUhmYE4&t=15s,,【有声漫画】身为神偷的我竟然被踢出勇者团队，这居然是三男争风吃醋，可惜可爱的蓝毛三无美少女王女喜欢我，不是怎么还有抢婚环节，我怎么是被保护的,https://www.bilibili.com/video/BV1sVxNzMEts,白Y吃橘子（234462511）,2025/10/26,,,,"99liu咩（372154967）
想开eva的伦（398898412）",已完成,,,,,,,
54,,,,【有声漫画】普通小楚男被姐系后辈大小姐调戏desuwa，真的魅魔哦吼吼desuwa，全程不用动自动爽desuwa❤️❤️❤️,https://www.bilibili.com/video/BV1Mzp2zXEp5,白Y吃橘子（234462511）,2025/9/16,,,,bla咔（376298205）,已完成,,,,,,,
55,,,,【有声漫画】凶狠不良少女约我出去单挑？原来是请吃饭啊，我还以为请吃饭。怎么你原来是交流障碍，看我阴角路人男独处侠如何伯乐识千里马。标题神人对话这块,https://www.bilibili.com/video/BV1XQg5zgEmk,白Y吃橘子（234462511）,2025/7/22,,,,熠流摇光（190225046）,已完成,,,,,,,
56,,,,【有声漫画】高冷女孩被大叔玩弄感情了？我要跟你睡觉，你却将我当下属？？？我怎么自爆完了,https://www.bilibili.com/video/BV1bcKoz6EHy,白Y吃橘子（234462511）,2025/6/26,,,,长门丨有汐（487809734）,已完成,,,,,,,
57,,,,【有声漫画】下班，偶遇天降青梅，纯情社畜被诱导假装情侣，被痴女调教了，其实并非是调教,https://www.bilibili.com/video/BV133LwzmErc,白Y吃橘子（234462511）,2025/4/20,,,,欢乐的椰子（381665695）,已完成,,,,,,,
58,,https://www.youtube.com/watch?v=-p6xSOeYKcw,,【有声漫画】猫系白毛偶像让哥们坚持五秒，可是哥们一秒就满足，真不想握手了。偶像改变人设要拿下哥们，但是哥们是真正的man，区区小计让偶像无语,https://www.bilibili.com/video/BV19gUiYQEMB,白Y吃橘子（234462511）,2024/11/17,,,,芯禾Official（255196278）,已完成,,,,,,,
59,,,,【有声漫画】英治在电车偶遇富婆？还是个粉切黑？看他如何狠狠软饭软吃,https://www.bilibili.com/video/BV13yseeMEjX,白Y吃橘子（234462511）,2024/9/24,,,,春川希（64967494）,已完成,,,,,,,
60,,https://www.youtube.com/watch?v=H-gOzAizf6I,,【有声漫画】用可乐饼喂养小萝莉，收留她当妹妹，让她随便撒娇。什么？你要带我卸甲？要跟我决斗？脱！战！还好是义妹，差点缘⚪空了,https://www.bilibili.com/video/BV1LHHTetEv8,白Y吃橘子（234462511）,2024/8/29,,,,"啊米浴说的道理
（404260531）",已完成,,,,,,,
61,,https://www.youtube.com/watch?v=q4cxfySK564,,【有声漫画】雨中的天然呆学姐被中二病少年带回，成熟又高冷的少年才不会被学姐……才不是幼稚鬼啊，啊啊啊，怎么被养成了？？可恶的学姐！,https://www.bilibili.com/video/BV1C8enekEqD,白Y吃橘子（234462511）,2024/8/14,,,,"三河Ghost日本小说家
（3537124984884008）",收集中,,,,,,,
62,,https://www.youtube.com/watch?v=Q2i7O8ErFBQ,,【有声漫画】邻座的傲娇同学有个妹妹强如怪物，即使拼劲全力也无法战胜，一个人调教了自己姐姐，什么！就连男主也在你的算计之中？真是太可怕了,https://www.bilibili.com/video/BV1PgY4eoEeU,白Y吃橘子（234462511）,2024/8/8,,,,,,,,,,,,
63,,https://www.youtube.com/watch?v=b2Lq_58Cdcg,,【有声漫画】学校里有男娘？做兄弟在心中，兄弟你好香，兄弟你怎么是胸弟，胸弟别搞了，俺只是纯情小楚男，啊啊啊啊啊啊,https://www.bilibili.com/video/BV16S421X77p,白Y吃橘子（234462511）,2024/7/25,,,,,,,,,,,,
64,,,,【有声漫画】可爱天然呆被芙蓉王教抽传统smoke，这就是芙蓉王的真正魅力。可惜你没有芙蓉王之意志。不是，你怎么真的喜欢芙蓉王的味道，啊啊，痴女啊？,https://www.bilibili.com/video/BV16E421A78U,白Y吃橘子（234462511）,2024/7/15,,,,,,,,,,,,
65,【漫画】コインランドリーで洗濯物を忘れていると美女に伝えた俺。彼女「勝負下着見たんですか!_」→何とか誤解を解き仲良くなり、連絡先を交換した結果・・・,https://www.youtube.com/watch?v=PhVoAEKT7LY,,【有声动画】震惊！一名男子半夜在自助洗衣店遇到美女!啊？怎么是个甜妹？傻白甜？怎么会有一点重女的味道?唔，真是太棒了！！,https://www.bilibili.com/video/BV1vi421e7W2,白Y吃橘子（234462511）,2024/6/30,,,,,,,,,,,,
66,,,,【熟肉】假女友竟然是重女啊喂，要被骗的裤衩子都不见了。怎么要变成病娇大boss了？哈哈，你才是挑战者，其实我比你还要重属性,https://www.bilibili.com/video/BV1ux4y1H7f1,白Y吃橘子（234462511）,2024/5/31,,,,,,,,,,,,
67,,,,【有声漫画】高冷青梅以为被闺蜜偷家了，没想到闺蜜竟然是哥的姐姐，天降帮助青梅，青梅原来也是个傲娇，怎么还是一个重女，等等哥不是表白过了么，究竟怎么回事啊,https://www.bilibili.com/video/BV1DH4y1V7ML,白Y吃橘子（234462511）,2024/5/7,,,,,,,,,,,,
68,,https://www.youtube.com/watch?v=izU5QNKqHYo,,【泡面短片】体虚，然后捡到吸血鬼，什么美少女万华镜一的血亲剧情,https://www.bilibili.com/video/BV1Sf421S71w,白Y吃橘子（234462511）,2024/5/2,,,,,,,,,,,,
69,,,,【有声漫画】【熟肉】面对高冷美女同事我主动出击，直接将她全款拿下，纯情我要主动掌握自己的幸福，唔，你怎么也这么纯情，我的办公室恋爱物语果然青涩！,https://www.bilibili.com/video/BV1vz421S78E,白Y吃橘子（234462511）,2024/5/1,,,,,,,,,,,,
70,,,,【有声漫画】【熟肉】典中典之姐就是女王萧炎，三月之期已到，为爱冲锋。悠斗几句话，让女人为我改变？不，爱情更应该是灵魂的交流,https://www.bilibili.com/video/BV1xF4m1w7MU,白Y吃橘子（234462511）,2024/4/25,,,,,,,,,,,,
71,,,,【有声漫画】【个人汉化】天天调戏我的青梅总是没有防备，看我如何突袭可爱的幼驯染。夜袭敌军，挫其锐气。欸，怎么会哭呢，亲一下，唔，被诱拐了。,https://www.bilibili.com/video/BV1fH4y1P7BM,白Y吃橘子（234462511）,2024/4/19,,,,,,,,,,,,
72,【漫画】美人新入社員が「前世の妻です」と平凡社員に言い張ってくる→恋に落ちたので現世で結婚＆子作りした【恋愛漫画】【ラブコメ】【馴れ初め】,,,【个人汉化】【有声漫画】被车创两次的顶级男主要水泥封心成为冰冷男人。被前世的妻子找到直接被捕获。总之，若是爱可以跨越时间，即使忘记你，再次相遇，也会爱上你,https://www.bilibili.com/video/BV17q421F7BN,白Y吃橘子（234462511）,2024/4/17,,,,,,,,,,,,
73,,,,【个人汉化】【有声漫画】喜欢异世界的阴角悠斗遇到了因惩罚游戏而表白的暴走族女生，遇到这么科幻的事，但是我拒绝了，不过见识到她的无敌铁拳后，我瞬间不想去异世界了,https://www.bilibili.com/video/BV1uz421C7Yu,白Y吃橘子（234462511）,2024/4/14,,,,,,,,,,,,
74,,,,【个人汉化】【有声漫画】【合集】原本是大魔导师的我攻略了天才美少女，没想到美少女为了最稳的天降青梅，亏内了我十年。她本以为可以吃干我。但是，其实我也是个变态哈,https://www.bilibili.com/video/BV1Bx4y1Y7as,白Y吃橘子（234462511）,2024/4/10,,,,,,,,,,,,
75,,,,【个人汉化】【有声漫画】身为妹控的我被高冷后辈告白，本想拒绝，却因后辈提出奇怪play而无法拒绝,https://www.bilibili.com/video/BV1RA4m1c7Lw,白Y吃橘子（234462511）,2024/4/5,,,,,,,,,,,,
76,,,,【个人汉化】【有声漫画】赛博将棋第一的我本想扮猪吃老虎进入将棋部，但没想被粉毛挖掘了。后面遇到明星选手直接暴打了她。但是没想到她是我的迷妹。总之是太牛逼了,https://www.bilibili.com/video/BV14x4y1e78d,白Y吃橘子（234462511）,2024/3/26,,,,,,,,,,,,
77,【漫画】罰ゲームで１週間だけ学校一可愛いクール美女と恋人になった俺。面倒くさそうにしていた美女だが1週間経つと..「そろそろ約束の１週間だし、思いっきりふってやればー？」「えっ！？う、うーん…」,https://youtu.be/rzPz-dx2scU,サルベド漫画,【熟肉】在一次惩罚游戏中，我和学校最可爱的女孩成为了一周的恋人。美人似乎很麻烦，但一周后……“快到约定的一周了，所以你为什么不全力啊喂,https://www.bilibili.com/video/BV1XK421v7rm,白Y吃橘子（234462511）,2024/3/17,,,,,,,,,,,,
78,【漫画】中学の頃から疎遠になった幼馴染に５年間片想い中の俺。交通事故に遭いそうだった彼女の弟を庇ったら救急車で運ばれた。その後、退院できた俺への幼馴染の態度が急変。付きっきりでお世話してくれて優しい。,https://www.youtube.com/watch?v=Jhv_xv1XvRI,,【AI机翻】【有声漫画】救了疏远已久青梅的弟弟骨折了，青梅主动过来照顾我还要和我贴贴......,https://www.bilibili.com/video/BV1puz9BWEUq,科技烤桃子专用号（3632307835505024）,2026/1/28,,,,,,,,,,,,
79,【漫画】高校時代の家庭教師だった綺麗な歳上お姉さんと社会人になって再会。「嫌われてると思ってた」と涙ぐむ彼女に、当時「本気で好きだった」事実がバレた結果→距離感がバグり始めて…！？,https://www.youtube.com/watch?v=e7Jd5x-GHOM,,【AI机翻】【有声漫画】与曾经暗恋的美女家庭教师再续前缘,https://www.bilibili.com/video/BV1teksBsE8B,科技烤桃子专用号（3632307835505024）,2026/1/18,,,,,,,,,,,,
80,【漫画】毎朝同じ電車で隣に立っているS級美少女な高嶺の花。転びそうになった彼女を支えただけなのに「彼氏らしい」と噂になり→「ここまで誤解されたなら、付き合うしかないよね？」と腕を絡められて…！？,https://www.youtube.com/watch?v=BWTwOAW91ok,,【AI机翻】【有声漫画】电车上邂逅高岭之花的她,https://www.bilibili.com/video/BV144r2B1Enk,科技烤桃子专用号（3632307835505024）,2026/1/17,,,,,,,,,,,,
81,【漫画】職場の飲み会で酔った同期に「あんた私の彼氏よね」と抱きつかれた瞬間を撮られて、職場で彼女持ちと誤解された俺。→その噂を聞いた同僚の女子が「なんで黙ってたの！？」となぜか嫉妬してきた！？,https://www.youtube.com/watch?v=HTdhgxeyOIA,,【AI机翻】【有声漫画】和同期女同事喝醉酒被拍了合照，被铁暗恋我的美女同事狠狠吃醋了......,https://www.bilibili.com/video/BV13fvXB4Ezf,科技烤桃子专用号（3632307835505024）,2026/1/1,,,,,,,,,,,,
82,【漫画】いつも優しく癒してくれる先輩に「好きな人ができたら報告してね？」と言われてる俺。内緒でクラスの女子友達と恋バナしていたら、先輩にバレて「私以外の女の子を好きになっちゃったの？」とキレられた！？,https://www.youtube.com/watch?v=iiYfrNysf0c,,【AI机翻】【有声漫画】被病娇白毛美少女姐系青梅榨干了......,https://www.bilibili.com/video/BV14ZqBBmE1L,科技烤桃子专用号（3632307835505024）,2025/12/20,,,,,,,,,,,,
83,【漫画】クラスのオタクな美少女に特典やオマケを貢いでいる俺。お礼したいらしく「今度遊びに行こ？」と誘われた結果→推しの結婚報道で心の拠り所を失った彼女に「私のこと好きにしていいよ」と迫られる…！？,https://www.youtube.com/watch?v=TMommaQXJVs,,【AI机翻】【有声漫画】班上的御宅美少女因为推结婚自暴自弃要得吃我......,https://www.bilibili.com/video/BV1bdmiBqEwJ,科技烤桃子专用号（3632307835505024）,2025/12/14,,,,,,,,,,,,
84,【漫画】クラスの高嶺の花な幼馴染、昔は仲良しだったのに今では疎遠な関係に。彼女の落としたメモ帳に書かれた『恋の計画書』を拾ってしまい、彼女に返すと「もしかして中身見た！？」と動揺しまくっている！？,https://www.youtube.com/watch?v=HOch5amUbJI,,【AI机翻】【有声漫画】捡到冷漠天降青梅的笔记本发现她喜欢我，但当我想主动表白的时候她却说："你为啥跟我直接表白啊？！😨嘎啦game里不是这样！",https://www.bilibili.com/video/BV1fSmcB9E1F,科技烤桃子专用号（3632307835505024）,2025/12/7,,,,,,,,,,,,
85,【漫画】長年付き合ってきた婚約者にフラれた俺。婚姻届を丸めて会社のゴミ箱に投げて帰ったら→翌日、社内一の美人受付嬢がやってきて「この空欄、私の名前で埋めていいですか？」と逆プロポーズしてきた！？,https://www.youtube.com/watch?v=eMGKiSiMzJM,,【AI机翻】【有声漫画】求婚被甩的我的废弃结婚申请书被美女前台捡到了......,https://www.bilibili.com/video/BV1sYSFBeEs7,科技烤桃子专用号（3632307835505024）,2025/11/29,,,,,,,,,,,,
86,【漫画】学年で一番モテる美人な幼馴染が「恋愛偏差値を上げる実験台になって」と恋人ごっこをお願いしてきた。仕方なく付き合うと、気づいたらどんどん過激な要求をされていて、,https://www.youtube.com/watch?v=9VYh4Ln8TIk,,【AI机翻】【有声漫画】女神青梅假意和我玩恋人扮演游戏，实则想得吃我？,https://www.bilibili.com/video/BV12MUPBVEf9,科技烤桃子专用号（3632307835505024）,2025-11-23,,,,,,,,,,,,
87,【漫画】美人上司に毎日怒られている無能な俺。姉の子供と一緒にいる時に上司に鉢合わせてしまい「離婚したの！？」と聞かれた。勘違いを解消するため俺が独身で彼女さえい,https://www.youtube.com/watch?v=a6P1n50m_z8,,【AI机翻】【有声漫画】美女上司对我冷淡的原因居然是以为我结婚了......,https://www.bilibili.com/video/BV1Na1DBYE5v,科技烤桃子专用号（3632307835505024）,2025-11-08,,,,,,,,,,,,
88,【漫画】ブラコン妹を諦めさせるために、学校一の美少女である風紀委員長に彼女役を頼んだ俺。最初はしぶしぶだったが、だんだんノッてきて「本当の愛というものを教えてあげる」と妹に宣戦布告した結果…！？,https://www.youtube.com/watch?v=DHoYSPYv9Cc,,【AI机翻】【有声漫画】为了治好妹妹的兄控，请校花风纪委员长扮演女朋友，结果被狠狠拿捏......,https://www.bilibili.com/video/BV1ni1qBpE2f,科技烤桃子专用号（3632307835505024）,2025-11-03,,,,,,,,,,,,
89,漫画】学校一の美少女で有名な完璧すぎる清楚系令嬢が、実は俺の許婚だった！？でもブラコン妹が「そんなの絶対に認めない！」と結婚に大反対して、美女二人が俺を奪い合い始めた！？,https://www.youtube.com/watch?v=D4z3jAx73Jc,,【AI机翻】【有声漫画】学校第一美少女竟然是我的未婚妻！？但可爱妹妹不同意，两位美女竟为争夺我而斗争起来......,https://www.bilibili.com/video/BV1PF1FBpEUF,科技烤桃子专用号（3632307835505024）,2025-11-02,,,,,,,,,,,,
90,【漫画】美人な幼馴染から1週間友達の彼氏のフリしてあげてと頼まれた俺。仕方なく了承したが約束の期日を過ぎても別れてくれなくて…幼馴染「もう恋人役は必要ないんだよね？」友達「えっと…」,https://www.youtube.com/watch?v=1HqXlObNgNo,,【AI机翻】【有声漫画】青梅竹马拜托我扮演她闺蜜的男友一周，结果闺蜜想偷家......,https://www.bilibili.com/video/BV1gtsezbEYZ,科技烤桃子专用号（3632307835505024）,2025-10-26,,,,,,,,,,,,
91,【漫画】美人な女社長に緊急呼び出しされた俺。恋人のフリして両親に挨拶して欲しいと頼まれたので丁重にお断りしたら、なぜか社長が拗ねた。数時間後、社長命令で秘書に任命されて、ほぼ社長の束縛状態になった！？,https://www.youtube.com/watch?v=PjFbqsIDlzA,,【AI机翻】【有声漫画】美女社长请求我假装恋人去见她的父母，我礼貌地拒绝了，结果社长却生气了.....,https://www.bilibili.com/video/BV1DwshzUEKb,科技烤桃子专用号（3632307835505024）,2025-10-25,,,,,,,,,,,,
92,【漫画】仕事一筋の美人先輩とマッチングアプリでマッチした俺。普段職場で見せている姿かたらは想像できない可愛らしい服装をしていて…俺「解散します…？」先輩「デートしたい…」,https://www.youtube.com/watch?v=FHivgvmj4rM,,【AI机翻】【有声漫画】一心工作的美女前辈和我在交友软件上配对成功......,https://www.bilibili.com/video/BV1mAWRzGExU,科技烤桃子专用号（3632307835505024）,2025-10-24,,,,,,,,,,,,
93,【漫画】いつも塩対応な美人後輩を両親に彼女だと報告した俺。後日親と2人でいる所に後輩と鉢合わせしてまい…母「あなたが息子の彼女さんね！」後輩「…はい」なぜか話を合わせて偽装彼女になってくれて….,https://www.youtube.com/watch?v=-iq38khu_b8,,【AI机翻】【有声漫画】我把一向态度冷淡的漂亮后辈向老妈报告说是我的女朋友。后来，当我和老妈两个人在一起时，正好遇到了她……,https://www.bilibili.com/video/BV15AWQz1ENV,科技烤桃子专用号（3632307835505024）,2025-10-23,,,,,,,,,,,,
